# along_strike_index, down_dip_index, cen_x, cen_y, cen_z
30.000000 15.000000 1692034.160147 5443129.249642 -45113.039169
31.000000 0.000000 1810122.702785 5354060.812836 -5012.980931
31.000000 1.000000 1802894.292596 5360322.712434 -7798.205039
31.000000 2.000000 1795613.262419 5366630.196203 -10206.711632
31.000000 3.000000 1788234.323841 5373022.497043 -12289.954849
31.000000 4.000000 1780832.913408 5379434.265026 -14139.004172
31.000000 5.000000 1773407.648809 5385866.697636 -15960.960700
31.000000 6.000000 1765972.338118 5392307.833074 -17679.619380
31.000000 7.000000 1758534.657745 5398751.021344 -19446.728713
31.000000 8.000000 1751111.149053 5405181.932829 -21308.696603
31.000000 9.000000 1743723.382636 5411581.881138 -23411.244324
31.000000 10.000000 1736375.171026 5417947.563512 -25743.828827
31.000000 11.000000 1729103.113623 5424247.274256 -28466.217545
31.000000 12.000000 1721919.860374 5430470.054848 -31572.983586
31.000000 13.000000 1714819.492011 5436621.033092 -34970.499649
31.000000 14.000000 1707842.847468 5442664.830624 -38798.950242
31.000000 15.000000 1700973.935392 5448615.300596 -42926.375668
31.000000 16.000000 1694212.543859 5454472.626594 -47368.244637
32.000000 0.000000 1820839.945462 5358007.061494 -5171.465720
32.000000 1.000000 1813611.304396 5364269.161098 -7908.749476
32.000000 2.000000 1806337.487959 5370570.395677 -10253.786906
32.000000 3.000000 1798968.104078 5376954.419378 -12341.680067
32.000000 4.000000 1791547.027995 5383383.223517 -14124.276448
32.000000 5.000000 1784096.530121 5389837.515461 -15757.740534
32.000000 6.000000 1776632.608707 5396303.436083 -17267.726829
32.000000 7.000000 1769167.231271 5402770.618043 -18818.957592
32.000000 8.000000 1761712.768016 5409228.345157 -20468.263469
32.000000 9.000000 1754282.060918 5415665.492548 -22292.109656
32.000000 10.000000 1746898.092741 5422062.150479 -24389.824987
32.000000 11.000000 1739558.082063 5428420.728468 -26765.167075
32.000000 12.000000 1732309.253575 5434700.316236 -29592.876736
32.000000 13.000000 1725153.794912 5440899.018656 -32786.827837
32.000000 14.000000 1718093.216453 5447015.527301 -36309.612091
32.000000 15.000000 1711095.775429 5453077.340618 -40065.391914
32.000000 16.000000 1704264.243668 5458995.428396 -44316.738567
32.000000 17.000000 1697482.443330 5464870.434338 -48728.864639
33.000000 0.000000 1831550.571893 5361959.041740 -5424.340799
33.000000 1.000000 1824313.699992 5368228.271635 -8169.473486
33.000000 2.000000 1817011.062077 5374554.473972 -10487.639897
